Reference, Value, Footprint, Datasheet, 
R6, 100k, Resistors_SMD:R_0805_HandSoldering, , 
R10, 220k, Resistors_SMD:R_0805_HandSoldering, , 
R2, 68k, Resistors_SMD:R_0805_HandSoldering, , 
C6, 1nF, w_smd_cap:c_0805, , 
W5, TEST_1P, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
D1, Zener_opt, w_smd_diode:sod123, , 
C9, 100n, w_smd_cap:c_0805, , 
C10, 10u, Capacitors_SMD:C_1812_HandSoldering, , 
U1, LM324, SMD_Packages:SOIC-14_N, , 
R5, 100k, Resistors_SMD:R_0805_HandSoldering, , 
R9, 220k, Resistors_SMD:R_0805_HandSoldering, , 
R1, 68k, Resistors_SMD:R_0805_HandSoldering, , 
C5, 1nF, w_smd_cap:c_0805, , 
W7, TEST_1P, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
D3, Zener_opt, w_smd_diode:sod123, , 
R8, 100k, Resistors_SMD:R_0805_HandSoldering, , 
R12, 220k, Resistors_SMD:R_0805_HandSoldering, , 
R4, 68k, Resistors_SMD:R_0805_HandSoldering, , 
C8, 1nF, w_smd_cap:c_0805, , 
W6, TEST_1P, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
D2, Zener_2V5, w_smd_diode:sod123, , 
R7, 100k, Resistors_SMD:R_0805_HandSoldering, , 
R11, 220k, Resistors_SMD:R_0805_HandSoldering, , 
R3, 68k, Resistors_SMD:R_0805_HandSoldering, , 
C7, 1nF, w_smd_cap:c_0805, , 
W8, TEST_1P, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
D4, Zener_2V5, w_smd_diode:sod123, , 
C4, 1u, w_smd_cap:c_0805, , 
C3, 1u, w_smd_cap:c_0805, , 
C2, 1u, w_smd_cap:c_0805, , 
C1, 1u, w_smd_cap:c_0805, , 
RP_E1, CONN_02X13, Connect:IDC_Header_Straight_26pins, , 
P3, I2C_EXT, Pin_Headers:Pin_Header_Straight_1x04, , 
R13, 12k, Resistors_SMD:R_0805_HandSoldering, , 
